x,y,z,s,t,w
11088,10560,15312,9100,13940,17812
10212,5040,11388,13959,14841,18015
13959,5040,14841,10212,11388,18015
1722,11704,11830,13728,18040,18122
3128,3654,4810,17472,17850,18122
3978,2704,4810,17472,17680,18122
10472,4704,11480,14022,14790,18122
13728,11704,18040,1722,11830,18122
14022,4704,14790,10472,11480,18122
17472,3654,17850,3128,4810,18122
17472,2704,17680,3978,4810,18122
7616,14280,16184,8415,16575,18241
7616,3960,8584,16095,16575,18241
8415,14280,16575,7616,16184,18241
16095,3960,16575,7616,8584,18241
7293,14960,16643,7476,16724,18245
7293,3276,7995,16400,16724,18245
7476,14960,16724,7293,16643,18245
16400,3276,16724,7293,7995,18245
10400,2340,10660,15120,15300,18500
15120,2340,15300,10400,10660,18500
7644,13167,15225,10780,17017,18655
10780,13167,17017,7644,15225,18655
4488,8415,9537,16184,18241,18785
4488,7616,8840,16575,18241,18785
9792,12144,15600,10465,16031,18785
10465,12144,16031,9792,15600,18785
16184,8415,18241,4488,9537,18785
16575,7616,18241,4488,8840,18785
4131,2808,4995,18144,18360,18819
18144,2808,18360,4131,4995,18819
8064,15120,17136,8910,17550,19314
8910,15120,17550,8064,17136,19314
7854,13072,15250,11904,17680,19346
11904,13072,17680,7854,15250,19346
10920,2457,11193,15876,16065,19425
15876,2457,16065,10920,11193,19425
5796,2997,6525,18360,18603,19485
18360,2997,18603,5796,6525,19485
4284,2912,5180,18816,19040,19516
18816,2912,19040,4284,5180,19516
5096,8778,10150,16704,18870,19546
16704,8778,18870,5096,10150,19546
11550,10080,15330,12312,15912,19662
12312,10080,15912,11550,15330,19662
4200,18135,18615,6820,19375,19825
6820,18135,19375,4200,18615,19825
4752,8910,10098,17136,19314,19890
4752,8064,9360,17550,19314,19890
17136,8910,19314,4752,10098,19890
17550,8064,19314,4752,9360,19890
5544,11210,12506,15600,19210,19994
15600,11210,19210,5544,12506,19994
4437,3016,5365,19488,19720,20213
9555,11088,14637,13940,17812,20213
9555,9100,13195,15312,17812,20213
13940,11088,17812,9555,14637,20213
15312,9100,17812,9555,13195,20213
19488,3016,19720,4437,5365,20213
11440,2574,11726,16632,16830,20350
16632,2574,16830,11440,11726,20350
8512,15960,18088,9405,18525,20387
9405,15960,18525,8512,18088,20387
4095,8400,9345,18700,20500,20905
18700,8400,20500,4095,9345,20905
3198,4536,5550,20160,20664,20910
4590,3120,5550,20160,20400,20910
8568,10626,13650,15840,19074,20910
13566,1512,13650,15840,15912,20910
15840,10626,19074,8568,13650,20910
15840,1512,15912,13566,13650,20910
20160,4536,20664,3198,5550,20910
20160,3120,20400,4590,5550,20910
5016,9405,10659,18088,20387,20995
5016,8512,9880,18525,20387,20995
18088,9405,20387,5016,10659,20995
18525,8512,20387,5016,9880,20995
2340,1995,3075,20900,20995,21125
20900,1995,20995,2340,3075,21125
1071,3828,3975,20880,21228,21255
20880,3828,21228,1071,3975,21255
11960,2691,12259,17388,17595,21275
17388,2691,17595,11960,12259,21275
8736,15048,17400,12320,19448,21320
12320,15048,19448,8736,17400,21320
8960,16800,19040,9900,19500,21460
9900,16800,19500,8960,19040,21460
9152,10920,14248,16065,19425,21473
16065,10920,19425,9152,14248,21473
4743,3224,5735,20832,21080,21607
20832,3224,21080,4743,5735,21607
6440,3330,7250,20400,20670,21650
20400,3330,20670,6440,7250,21650
5280,9900,11220,19040,21460,22100
5280,8960,10400,19500,21460,22100
11520,7728,13872,17204,18860,22100
17204,7728,18860,11520,13872,22100
19040,9900,21460,5280,11220,22100
19500,8960,21460,5280,10400,22100
12480,2808,12792,18144,18360,22200
18144,2808,18360,12480,12792,22200
11375,13200,17425,13860,19140,22265
13860,13200,19140,11375,17425,22265
4896,3328,5920,21504,21760,22304
21504,3328,21760,4896,5920,22304
9408,17640,19992,10395,20475,22533
10395,17640,20475,9408,19992,22533
9114,6248,11050,19680,20648,22570
19680,6248,20648,9114,11050,22570
4995,18144,18819,12792,22200,22755
12792,18144,22200,4995,18819,22755
13475,11760,17885,14364,18564,22939
14364,11760,18564,13475,17885,22939
5049,3432,6105,22176,22440,23001
22176,3432,22440,5049,6105,23001
13000,2925,13325,18900,19125,23125
18900,2925,19125,13000,13325,23125
5544,10395,11781,19992,22533,23205
5544,9408,10920,20475,22533,23205
19992,10395,22533,5544,11781,23205
20475,9408,22533,5544,10920,23205
3024,9982,10430,20976,23230,23426
20976,9982,23230,3024,10430,23426
9856,18480,20944,10890,21450,23606
10890,18480,21450,9856,20944,23606
